YEAR,TICKETS SOLD,TOTAL BOX OFFICE,TOTAL INFLATION ADJUSTED BOX OFFICE,AVERAGE TICKET PRICE,AVERAGE TICKET PRICE INFLATION ADJUSTED
2021,"42,37,74,881","$3,881,777,912","$3,881,777,912.00",$9.16,$9.16
2020,"22,36,38,958","$2,048,534,616","$2,206,766,899.44",$9.16,$9.87
2019,"1,22,85,41,629","$11,253,443,955","$12,272,234,601.60",$9.16,$9.99
2018,"1,31,15,36,128","$11,948,096,650","$13,265,871,689.01",$9.11,$10.11
2017,"1,22,56,39,761","$10,993,991,460","$12,504,678,553.49",$8.97,$10.20
2016,"1,30,25,56,378","$11,267,115,924","$13,088,345,147.61",$8.65,$10.05
2015,"1,32,33,56,776","$11,155,900,636","$13,122,634,279.90",$8.43,$9.92
2014,"1,25,74,02,920","$10,272,985,008","$12,098,408,210.84",$8.17,$9.62
2013,"1,33,91,68,926","$10,887,446,341","$13,030,051,961.36",$8.13,$9.73
2012,"1,38,09,21,942","$10,992,141,616","$13,348,045,100.59",$7.96,$9.67
2011,"1,28,29,15,168","$10,173,519,704","$12,609,630,346.51",$7.93,$9.83
2010,"1,32,85,49,021","$10,482,254,025","$13,402,398,405.35",$7.89,$10.09
2009,"1,41,85,67,388","$10,639,257,284","$13,826,268,705.60",$7.50,$9.97
2008,"1,35,80,42,073","$9,750,744,148","$12,626,516,908.50",$7.18,$9.30
2007,"1,42,00,36,680","$9,769,854,914","$13,137,015,605.78",$6.88,$9.25
2006,"1,39,87,38,283","$9,161,738,221","$12,670,193,152.24",$6.55,$9.06
2005,"1,37,29,80,280","$8,800,805,718","$12,563,657,121.30",$6.41,$9.15
2004,"1,49,56,51,298","$9,287,996,519","$13,708,374,830.55",$6.21,$9.17
2003,"1,52,45,89,620","$9,193,277,289","$13,929,913,558.30",$6.03,$9.14
2002,"1,57,57,56,527","$9,155,147,215","$14,188,289,904.59",$5.81,$9.00
2001,"1,46,58,74,205","$8,296,849,636","$13,068,803,797.83",$5.66,$8.92
2000,"1,39,74,60,079","$7,532,311,479","$12,195,258,449.29",$5.39,$8.73
1999,"1,44,46,64,086","$7,338,894,852","$12,281,503,976.75",$5.08,$8.50
1998,"1,44,38,32,471","$6,771,575,283","$11,582,384,859.21",$4.69,$8.02
1997,"1,35,73,49,648","$6,230,235,770","$10,822,443,571.01",$4.59,$7.97
1996,"1,30,52,21,290","$5,769,078,886","$10,251,311,227.37",$4.42,$7.85
1995,"1,22,17,05,907","$5,314,421,390","$9,722,252,705.87",$4.35,$7.96
