,name,phone,address,rating,description,main_tag,sub_tag
0,Macpple Care India,9349093491 7558077772 9846057657,"Cochin, Ernakulam View Location",Be the first one to rate,"The No1 Apple Care Repair Centre Kochi, Apple Authorised Resellers (Macpple Store) 30 Mins Express Service, 18Month Warranty With Original Spares. We never sell like original. We sell The ''Original Means'' ''Original''. Most Modern Repair Facility With 10 Year Long Experts In Apple Products. Apple ... + More",Also listed In Mobile Phone apple service Mobile Care Mobile Phone Shop Sales and Service,Also listed In Mobile Phone apple service Mobile Care Mobile Phone Shop Sales and Service
1,MyG My Gen Digital Hub,9249001001,"Puthiyara, Calicut View Location",Be the first one to rate,"Mobile Phones myG online offers best smartphones that meet your budget. Whether you are looking for best smartphones with larger, fuller screens, power-packed batteries, fast processors, beautification apps, high-tech selfie cameras or just large internal space, we take care of all the essentials. You can buy branded smartphones online f... + More",Also listed In Mobile Phone Mobile Chargers & Adaptor Mobile Phone Servicing Mobile Phone Shop,Also listed In Mobile Phone Mobile Chargers & Adaptor Mobile Phone Servicing Mobile Phone Shop
2,iTel iT Service l The No.1 Apple Service in Kerala,9349093491 7558077772 9846057657,"Vyttila, Ernakulam View Location","5 out of 5, based on user votes","iTel iT Service The No.1 Apple Service Center In Kochi, Kerala. With 10+ Years Of Apple Sales And Service Experience, We Are Able To Fix Any Problems With Your iPhone, iPad, Apple Watch, Macbook, & iMac. With Certified And Well Trained Apple Care Experts, We Make Sure You Get World-Class Service And Support For Your Beloved Apple Prod... + More",Also listed In Mobile Phone Mobile Care Mobile Phone Servicing Mobile Phone Shop Mobile Phone Unlocking,Also listed In Mobile Phone Mobile Care Mobile Phone Servicing Mobile Phone Shop Mobile Phone Unlocking
3,iTel iT Service ( Best Apple Service Center in Kerala),9349093491 7558077772 9846057657,"Cochin, Ernakulam View Location","5 out of 5, based on user votes","iPhone, iPad, Macbook, All Apple Product Service, 1Year Warranty For LCD, 30-1hr Display Replacement, No Inspection Charge, No Fix No Charge. Trusted Service Center Since 2000",Also listed In Mobile Phone Mobile Care Mobile Phone Servicing Mobile Phone Shop,Also listed In Mobile Phone Mobile Care Mobile Phone Servicing Mobile Phone Shop
4,I Care Fon,9539277774,"Civil Station, Kollam View Location",Be the first one to rate,"iCareFon is the most trusted Apple service centers in Kerala, spreading over its branches and highly sophisticated lab in major cities like Cochin, Trivandrum and Thrissur. iCareFon always ensure customer service at its utmost satisfaction through our dedicated and professional customer care support Engineers. We are recognized as revolut... + More",Also listed In Mobile Phone apple service Mobile Accessories Mobile Phone Servicing Sales and Service,Also listed In Mobile Phone apple service Mobile Accessories Mobile Phone Servicing Sales and Service
5,Glory Mobiles,90728 06045 04828 203 958,"Kanjirappally, Kottayam View Location",Be the first one to rate,All multi brand mobiles tablet sales and service..accessories...all mobile recarge...dth charging...all bank credict debit card accepted here.,Also listed In Mobile Phone Mobile & D2h Rechaging Mobile Accessories Mobile Care Mobile Phone Servicing,Also listed In Mobile Phone Mobile & D2h Rechaging Mobile Accessories Mobile Care Mobile Phone Servicing
6,iCareFon,9497 677 774,"Anchal, Kollam View Location",Be the first one to rate,"Apple Repair And Service Center, MacBook Repair and Service Center, iPhone Repair And Service Center, iMac Repair and Service Center, iPad Repair and Service Center, Apple Watch Repair and Service Center, iWatch Reapir and Service Center, Apple TV Repair and Service center, Mac Mini Repair and Service cent, Mac Pro Repair and Service Cent... + More",Also listed In Mobile Phone apple service Mobile Care Mobile Phone Servicing,Also listed In Mobile Phone apple service Mobile Care Mobile Phone Servicing
7,KR Mobiles Sales and Service,8086451772 9400111772,"Pandalam, Pathanamthitta View Location",Be the first one to rate,Mobile sales Mobile service Dtp work Photostat Duty payed .,Also listed In Mobile Phone Mobile Phone Servicing Sales and Service Mobile Phone Shop,Also listed In Mobile Phone Mobile Phone Servicing Sales and Service Mobile Phone Shop
8,Oiga Mobiles,9656545450 0477 2239919,"Mullakkal, Alleppey View Location",Be the first one to rate,All types of Mobiles and Mobile Accessories are available in our shop in Alappuzha. We take care of Mobile Services too.,Also listed In Mobile Phone Mobile Accessories Mobile Chargers & Adaptor Mobile phone accessories Mobile Phone Accessories Shop Mobile Phone Batteries Mobile Phone Chargers Mobile Phone Distributors Mobile Phone Servicing Mobile Phone Shop Sales and Service,Also listed In Mobile Phone Mobile Accessories Mobile Chargers & Adaptor Mobile phone accessories Mobile Phone Accessories Shop Mobile Phone Batteries Mobile Phone Chargers Mobile Phone Distributors Mobile Phone Servicing Mobile Phone Shop Sales and Service
9,Mobile Centre,9744812227 9744612227 9447712227,"Mullakkal, Alleppey View Location",Be the first one to rate,"Mobile Phone Sales and Service, Mobile Accessories, Mobile Recharging, Mobile Phone Shop, Mobile Phone Services etc.",Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile Accessories Mobile Chargers & Adaptor Mobile phone accessories Mobile Phone Accessories Shop Mobile Phone Batteries Mobile Phone Chargers Mobile Phone Distributors Mobile Phone Servicing Mobile Phone Shop,Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile Accessories Mobile Chargers & Adaptor Mobile phone accessories Mobile Phone Accessories Shop Mobile Phone Batteries Mobile Phone Chargers Mobile Phone Distributors Mobile Phone Servicing Mobile Phone Shop
10,Mobile care- Mobile phone service centre Palakkad,9020304067 9207804067,"Palakkad, Palakkad View Location",Be the first one to rate,We will give fast and best service for your mobile phone. Our technicians are very qualified and well experienced. Our specialized technicians assuring a best and quality service for our customers. We will give good support for all brand and non branded mobile phone and tablet. This well -known establishment acts as a one-step destinat... + More,Also listed In Mobile Phone Mobile Accessories Mobile Care Mobile phone accessories Mobile Phone Servicing,Also listed In Mobile Phone Mobile Accessories Mobile Care Mobile phone accessories Mobile Phone Servicing
11,New Sangeetha Mobiles,9496869400,"Mundakayam, Kottayam View Location",Be the first one to rate,"Mobile Phone Shop. Dealers of all types of branded mobiles phones, spares and accessories, Head Phones, Bluetooth headsets, Wireless Speakers, Mobile phone covers,Batteries, etc.",Also listed In Mobile Phone Mobile Phone Shop,Also listed In Mobile Phone Mobile Phone Shop
12,C P Mobile Center,9142999922 9388555566,"S M Street, Calicut View Location",Be the first one to rate,"C P Mobile Center in SM street, Calicut is one of top Mobile phone Shop in Calicut. This well-known establishment acts as a one-stop destination servicing customers both local and from other parts of Calicut. Over the course of its journey, this business has established a firm foothold in it’s industry. The belief that customer satisfacti... + More",Also listed In Mobile Phone Mobile phone accessories Mobile Phone Shop Sales and Service,Also listed In Mobile Phone Mobile phone accessories Mobile Phone Shop Sales and Service
13,Dubai Souk,9947999299,"Pantheeramkavu, Calicut View Location",Be the first one to rate,Mobile phone Mobile phone servicing Mobile charger and adopter Mobile shop,Also listed In Mobile Phone Mobile Phone Shop Mobile Phone Distributors,Also listed In Mobile Phone Mobile Phone Shop Mobile Phone Distributors
14,Multi Recharge Website - Mobile and DTH - All Kerala,9539518830 9188262375,"Koduvally, Calicut View Location",Be the first one to rate,"We will help you to pay off all your mobile, DTH,data card recharges and bill payments like Vodafone, Idea, BSNL, Jio, Sundirect, Dish TV, Tata Sky, Videocon and Sundirect etc We need distributors in Alappuzha, Ernakulam, Idukki, Kannur, Kasaragod, Kollam, Kottayam, Kozhikode, Malappuram, Palakkad, Pathanamthitta, Thiruvananthapuram, T... + More",Also listed In Mobile Phone Mobile & D2h Rechaging,Also listed In Mobile Phone Mobile & D2h Rechaging
15,Cloud store,7592992266,"Tazhekkod, Calicut View Location",Be the first one to rate,"This well-known establishment acts as a one-stop destination servicing customers both local and from other parts of Calicut. Over the course of its journey, this business has established a firm foothold in it’s industry. The belief that customer satisfaction is as important as their products and services, have helped this establishment ga... + More",Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Shop Sales and Service,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Shop Sales and Service
16,Mobile Plaza ( Samsung Smart Cafe ),9895785785,"Tazhekkod, Calicut View Location",Be the first one to rate,"This well-known establishment acts as a one-stop destination servicing customers both local and from other parts of Calicut. Over the course of its journey, this business has established a firm foothold in it’s industry. The belief that customer satisfaction is as important as their products and services, have helped this establishment ga... + More",Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Shop Sales and Service,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Shop Sales and Service
17,Cell Surgeons,9633190054,"Calicut, Calicut View Location",Be the first one to rate,"This well-known establishment acts as a one-stop destination servicing customers both local and from other parts of Calicut. Over the course of its journey, this business has established a firm foothold in it’s industry. The belief that customer satisfaction is as important as their products and services, have helped this establishment ga... + More",Also listed In Mobile Phone Mobile Phone Servicing Sales and Service,Also listed In Mobile Phone Mobile Phone Servicing Sales and Service
18,Android mobile care,7012573524,"Arappura Jn, Trivandrum View Location",Be the first one to rate,"All phone repair, cracked display, software issues, water damage, Rooting is also available. Custom rom installation. Fast and reliable service.","Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Batteries Mobile Care Mobile Phone Chargers Sales and Service Mobile Phone Shop Branded Mobile & Second Hand Mobile Phone Mobile Phone Accessories Shop apple service MOTO, XIOMI servicing","Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Batteries Mobile Care Mobile Phone Chargers Sales and Service Mobile Phone Shop Branded Mobile & Second Hand Mobile Phone Mobile Phone Accessories Shop apple service MOTO, XIOMI servicing"
19,IFM Mobile Service Hub,9645777001,"Rajaji Road, Calicut View Location","5 out of 5, based on user votes","This well-known establishment acts as a one-stop destination servicing customers both local and from other parts of Calicut. Over the course of its journey, this business has established a firm foothold in it’s industry. The belief that customer satisfaction is as important as their products and services, have helped this establishment ga... + More",Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Shop Sales and Service,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Shop Sales and Service
20,Himax mobile,95440 52123,"Mavoor road, Calicut View Location",Be the first one to rate,Mobile accessories wholesale& retail Mobile repair service Mobile phone sale .,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Shop Mobile Accessories,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Shop Mobile Accessories
