,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
0,University of Miami,world rank  155,"1320 S Dixie Highway
Coral Gables
33146 Florida
United States",+1 (305) 284 2211,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Engineering Accreditation Commission (EAC) of ABET
Accreditation Council for Graduate Medical Education (ACGME)
American Bar Association (ABA)
American Dental Association Commission on Dental Accreditation (ADA-CODA)
American Music Therapy Association (AMTA)
American Physical Therapy Association Commission on Accreditation in Physical Therapy Education (APTA-CAPTE)
American Psychological Association (APA)
Association to Advance Collegiate Schools of Business (AACSB International)
Commission on Accreditation of Athletic Training Education (CAATE)
Commission on Accreditation of Healthcare Management Education (CAHME)
Commission on Accreditation of Medical Physics Education Programs, Inc. (CAMPEP)
Commission on Collegiate Nursing Education (CCNE)
Commission on English Language Program Accreditation (CEA)
Council on Accreditation of Nurse Anesthesia Educational Programs (COA)
Council on Education for Public Health (CEPH)
Florida Department of Education (FDOE)
Liaison Committee on Medical Education (LCME)
National Architectural Accrediting Board, Inc. (NAAB)
National Association of Schools of Music (NASM)","Oak Ridge Associated Universities (ORAU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
1,University of Michigan,world rank  8,"503 Thompson Street
Ann Arbor
48109 Michigan
United States",+1 (734) 764 1817,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Association to Advance Collegiate Schools of Business (AACSB International)
Applied and Natural Science Accreditation Commission (ANSAC) of ABET
Engineering Accreditation Commission (EAC) of ABET
Computing Accreditation Commission (CAC) of ABET
American Bar Association (ABA), Council of the Section of Legal Education and Admissions to the Bar","American Association of State Colleges and Universities (AASCU)
Association of American Universities (AAU)
Big Ten Academic Alliance (BTAA)
Association of Universities for Research in Astronomy (AURA)
Midwest Universities Consortium for International Activities (MUCIA)
Michigan Association of State Universities (MASU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
2,University of Michigan-Dearborn,world rank  2535,"4901 Evergreen Road
Dearborn
48128-1491 Michigan
United States",+1 (313) 593 5000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"American Chemical Society (ACS)
Association to Advance Collegiate Schools of Business (AACSB International)
Computing Accreditation Commission (CAC) of ABET
Engineering Accreditation Commission (EAC) of ABET
Council for the Accreditation of Educator Preparation (CAEP)
National Association for the Education of Young Children (NAEYC)","University of Michigan System
National Athletic Association (NAA)
National Association of Intercollegiate Athletics (NAIA)",['Not reported']
3,University of Michigan-Flint,world rank  1785,"303 E. Kearsley Street
Flint
48502-1950 Michigan
United States",+1 (810) 762 3000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Council on Accreditation of Nurse Anesthesia Educational Programs (AANA)
American Chemical Society (ACS)
Engineering Accreditation Commission (EAC) of ABET","University of Michigan System
American Association of State Colleges and Universities (AASCU)",['Not reported']
4,University of Mindanao,world rank  7879,"Bolton Street
Davao City
8000 Davao Region
Philippines",+63 (82) 227 5456,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
5,University of Mines and Technology,world rank  9235,"PO Box 237
Tarkwa
Western Region
Ghana",+233 (3123) 20324,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,Association of African Universities (AAU),"University of Mines and Technology
|
Faculty of Engineering Faculty of Mineral Resources Technology School of Graduate Studies","['library', 'housing', 'sports facilities', 'financial aid']"
6,University of Mining and Geology St Ivan Rilski,world rank  6973,"Studentski grad
Sofia
1700 Sofia City
Bulgaria",+359 (2) 806 0300,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,"Scientific and Technical Union of Mining, Geology and Metallurgy (STU of MGM)","University of Mining and Geology St Ivan Rilski
|
Faculty of Geology Faculty of Mining Electromechanics Faculty of Mining Technology Department of the Humanities","['library', 'housing', 'sports facilities', 'financial aid']"
7,University of Minnesota-Twin Cities,world rank  10,"100 Church Street SE
Minneapolis
55455-0213 Minnesota
United States",+1 (612) 625 5000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public State,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Association to Advance Collegiate Schools of Business (AACSB International)
American Association for Leisure and Recreation (AALR), Council on Accreditation","University of Minnesota System
Association of Public and Land-Grant Universities (APLU)
Big Ten Academic Alliance (BTAA)
Association of Universities for Research in Astronomy (AURA)
Midwest Universities Consortium for International Activities (MUCIA)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
8,University of Misan,world rank  8870,"Misan djla Street
Amarah
Maysan
Iraq",+964,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"University of Misan
|
College of Medicine Faculty of Dentistry College of Pharmacy College of Engineering College of Law Faculty of science Faculty of Education College of Basic Education College of Physical Education College of Nursing College of Business and Economics College of Agriculture",['library']
9,University of Mississippi,world rank  476,"Oxford, Mississippi
University
38677-1848 Mississippi
United States",+1 (662) 915 7211,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"Association to Advance Collegiate Schools of Business (AACSB International)
Computing Accreditation Commission (CAC) of ABET
Engineering Accreditation Commission (EAC) of ABET
American Association for Leisure and Recreation (AALR), Council on Accreditation","Mississippi Institutions of Higher Learning (MIHL)
Association of Public and Land-Grant Universities (APLU)
Oak Ridge Associated Universities (ORAU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
10,University of Mississippi Medical Center,world rank  1714,"2500 N State Street
Jackson
39216-4505 Mississippi
United States",+1 (601) 984 1000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,"Mississippi Institutions of Higher Learning (MIHL)
Oak Ridge Associated Universities (ORAU)","University of Mississippi Medical Center
|
School of Dentistry School of Graduate Studies School of Health Related Professions School of Medicine School of Nursing","['library', 'financial aid', 'distant learning']"
11,University of Missouri,world rank  117,"105 Jesse Hall
Columbia
65211-1050 Missouri
United States",+1 (573) 882 2121,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Association to Advance Collegiate Schools of Business (AACSB International)
Computing Accreditation Commission (CAC) of ABET
Engineering Accreditation Commission (EAC) of ABET
American Association for Leisure and Recreation (AALR), Council on Accreditation","University of Missouri System
Association of American Universities (AAU)
Association of Public and Land-Grant Universities (APLU)
Oak Ridge Associated Universities (ORAU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
