,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
0,Xavier University,world rank  1261,"3800 Victory Parkway
Cincinnati
45207-1092 Ohio
United States",+1 (513) 745 3000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Association to Advance Collegiate Schools of Business (AACSB International)
American Chemical Society (ACS)","Association of Jesuit Colleges and Universities (AJCU)
Council of Independent Colleges (CIC)
Association of Catholic Colleges and Universities (ACCU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
1,Xavier University Bhubaneswar,world rank  7632,"Plot No. 12(A), Nijigada, Kurki
Harirajpur
752 050 Odisha
India",+91 (674) 237 7700,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
2,Xavier University of Louisiana,world rank  2339,"1 Drexel Drive
New Orleans
70125-1098 Louisiana
United States",+1 (504) 486 7411,Men and Women (coed),Historically Black Institution,"Yes, international applicants are welcome to apply for admission",Private,Non-Profit,"Accreditation Council for Business Schools and Programs (ACBSP)
Accreditation Council for Pharmacy Education (ACPE)
American Chemical Society (ACS)
National Association of Schools of Music (NASM)
Council for the Accreditation of Educator Preparation (CAEP)
Louisiana Department of Education (LADOE)
Council for Accreditation of Counseling and Related Educational Programs (CACREP)
National Association of Schools of Music (NASM)","American Council on Education (ACE)
American Association of Colleges for Teacher Education (AACTE)
Association of American Colleges
Association of Catholic Colleges and Universities (ACCU)
Association of College Unions International (ACUI)
Association of Independent Liberal Arts Colleges for Teacher Education (AILACTE)
Catholic Commission on Intellectual and Cultural Affairs (CCICA)
Conference of Southern Graduate Schools (CSGS)
Cooperative College Development Program (CCDP)
Council of Graduate Schools (CGS)
Council of Historically Black Graduate Schools (CHBGS)
United Negro College Fund (UNCF)
American Association of Colleges of Pharmacy (AACP)
Association of Minority Health Professional Schools (AMHPS)
National Athletic Association (NAA)
National Association of Intercollegiate Athletics (NAIA)",['Not reported']
3,Xavier University School of Medicine,world rank  10587,"Santa Helenastraat #23
Oranjestad

Aruba",+297 588 7766,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'financial aid']"
4,Xavier University-Ateneo de Cagayan,world rank  6581,"Corrales Avenue
Cagayan de Oro City
9000 Northern Mindanao
Philippines",+63 (8822) 723 116,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Non-Profit,"Association of Jesuit Colleges and Universities in Asia Pacific (AJCU-AP)
Association of Southeast and East Asian Catholic Colleges and Universities (ASEACCU)","Xavier University-Ateneo de Cagayan
|
School of Business and Management School of Education College of Agriculture College of Arts and Sciences College of Engineering College of Computer Studies College of Nursing Graduate School Programs College of Law Dr Jose P Rizal School of Medicine Center for Integrated Technologies","['library', 'sports facilities', 'financial aid']"
5,Xezer Universiteti,world rank  4230,"11, Mahsati str.
Baku
AZ1096 Absheron
Azerbaijan",+994 (12) 421 7927,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,European University Association (EUA),"Xezer Universiteti
|
School of Engineering and Applied Sciences School of Economics and Management School of Education School of Humanities and Social Sciences Summer School","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning']"
6,Xiamen Huaxia University,world rank  8045,"Xiamen
Fujian
China",+86,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
7,Xiamen Institude of Technology,world rank  9682,"Xiamen
Fujian
China",+86,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
8,Xiamen University,world rank  570,"422 Siming S Road, Siming
Xiamen
361005 Fujian
China",+86 (592) 218 6237,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,Global U8 Consortium (GU8),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'financial aid']"
9,Xiamen University of Technology,world rank  4919,"394 Siming Nanlu Road
Xiamen
361005 Fujian
China",+86 (592) 218 9536,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'financial aid']"
10,Xi'an Academy of Fine Arts,world rank  4587,"Xi'an
Shaanxi
China",+86,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
11,Xi'an Aeronautical University,world rank  9363,"Yanliang
Xi'an
Shaanxi
China",+86 (29) 8425 3015,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
12,Xi'an Conservatory of Music,world rank  8614,"Xi'an
Shaanxi
China",+86,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
13,Xi'an Eurasia University,world rank  6144,"Xi'an
710065 Shaanxi
China",+86,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Non-Profit,no-data,"Xi'an Eurasia University
|
School of Accounting School of Logistics and Commerce School of Leisure Management School of Finance EAAD School of Art and Design School of Cultural Medium School of Humanity Education School of Human Settlements and Civil Engineering School of Information Engineering School of Higher Vocational Education School of General Education",['library']
14,Xi'an Fanyi University,world rank  8372,"Xi'an
71010 Shaanxi
China",+86 (29) 8589 1104,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
15,Xi'an International Studies University,world rank  4492,"South Wenyuan Road, Guodu, Chang'an District
Xi'an
710128 Shaanxi
China",+86 (29) 8531 9274,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities']"
16,Xi'an International University,world rank  6171,"Xi'an
Shaanxi
China",+86,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
